Date,Description,Amount,Category,Transaction Type,Account Name,Labels,Notes
"03/02/2025","Apple","0.99","Shopping","debit",,,
"03/02/2025","Deposit","0.03","Transfer","credit",,,
"03/02/2025","Costco Gas","56.74","Auto & transport","debit",,,
"02/28/2025","Bill Payment","42.61","Transfer","credit",,,
"02/28/2025","Apple","41.62","Shopping","debit",,,
"02/28/2025","Interest","16.54","Income","credit",,,
"02/27/2025","Auto Loans","442.9","Auto & transport","debit",,,
"02/27/2025","DUNKIN","1","Income","credit",,,
"02/26/2025","DUNKIN","6","Income","credit",,,
"02/26/2025","Uber Eats","0.56","Food & dining","debit",,,
"02/26/2025","Dunkin Donuts","6","Food & dining","debit",,,
"02/25/2025","Dunkin Donuts","6","Food & dining","debit",,,
"02/25/2025","Albertsons","27.06","Groceries","debit",,,
"02/24/2025","GrubHub","21.97","Food & dining","debit",,,
"02/24/2025","Internal Revenue Servic...","1222","Taxes","credit",,,
"02/24/2025","American Express","497.9","Transfer","debit",,,
"02/24/2025","CITI CARD ONLINE DES:PA...","2197.72","Transfer","debit",,,
"02/23/2025","Costco","51.45","Shopping","debit",,,
"02/23/2025","Amazon","18.31","Shopping","debit",,,
"02/22/2025","ONLINE PAYMENT, THANK Y...","2197.72","Transfer","credit",,,
"02/22/2025","TESLA SUPERCHARGER US 8...","16.85","Auto & transport","debit",,,
"02/22/2025","MOBILE PAYMENT - THANK ...","497.9","Transfer","credit",,,
"02/22/2025","Albertsons","18.21","Groceries","debit",,,
"02/22/2025","Albertsons","41.22","Groceries","debit",,,
"02/21/2025","Zelle payment from     ...","18.21","Transfer","credit",,,
"02/20/2025","OPENAI","20","Food & dining","debit",,,
"02/18/2025","Zelle payment from     ...","891.59","Transfer","credit",,,
"02/18/2025","Zelle payment from     ...","3000","Transfer","credit",,,
"02/18/2025","CENGAGE LEARING","102.71","Education","debit",,,
"02/17/2025","COSTCO WHSE #0748 CYPRE...","161.5","Income","credit",,,
"02/17/2025","Costco","28.35","Shopping","debit",,,
"02/17/2025","99 Ranch Market","18.15","Groceries","debit",,,
"02/16/2025","SAKS FIFTH AVE","183.16","Income","credit",,,
"02/16/2025","TACO STANDARD","12.81","Food & dining","debit",,,
"02/16/2025","Albertsons","15.22","Groceries","debit",,,
"02/15/2025","TESLA INC","9.99","Business services","debit",,,
"02/14/2025","CITI CARD ONLINE DES:PA...","2000","Transfer","debit",,,
"02/14/2025","Zelle payment to       ...","30","Transfer","debit",,,
"02/14/2025","Zelle payment from     ...","31.6","Transfer","credit",,,
"02/14/2025","Costco","80.75","Shopping","debit",,,
"02/14/2025","Costco","165.44","Shopping","debit",,,
"02/14/2025","Fast 5 Xpress","19.99","Auto & transport","debit",,,
"02/14/2025","Calvin Klein","98.27","Shopping","debit",,,
"02/14/2025","Saks","183.16","Shopping","debit",,,
"02/13/2025","T-Mobile","166.05","Bills & utilities","debit",,,
"02/13/2025","CITI CARD ONLINE DES:PA...","2000","Transfer","debit",,,
"02/13/2025","Amazon","8.2","Shopping","debit",,,
"02/13/2025","ONLINE PAYMENT, THANK Y...","2000","Transfer","credit",,,
"02/13/2025","TESLA SUPERCHARGER US 8...","14.41","Auto & transport","debit",,,
"02/12/2025","Online Banking transfer...","600","Transfer","credit",,,
"02/12/2025","Zelle payment from     ...","3000","Transfer","credit",,,
"02/12/2025","Interest Earned","0.01","Income","credit",,,
"02/12/2025","Online Banking transfer...","600","Transfer","debit",,,
"02/12/2025","ONLINE PAYMENT, THANK Y...","2000","Transfer","credit",,,
"02/11/2025","Amazon","7.53","Shopping","debit",,,
"02/11/2025","Amazon","27.18","Shopping","debit",,,
"02/11/2025","Jpmorgan Chase & Co.","2000","Auto & transport","debit",,,
"02/10/2025","Online Transfer XXXXXXX...","2000","Transfer","credit",,,
"02/10/2025","Trader Joe's","5.28","Groceries","debit",,,
"02/10/2025","CITI CARD ONLINE DES:PA...","2208.4","Transfer","debit",,,
"02/10/2025","Zelle payment to       ...","50","Transfer","debit",,,
"02/10/2025","CA State Tax","276","Taxes","credit",,,
"02/10/2025","Costco","3223.46","Shopping","debit",,,
"02/09/2025","ONLINE PAYMENT, THANK Y...","2208.4","Transfer","credit",,,
"02/09/2025","TESLA SUPERCHARGER US 8...","17.39","Auto & transport","debit",,,
"02/09/2025","Costco","275.96","Shopping","debit",,,
"02/09/2025","Costco","1888.64","Shopping","debit",,,
"02/08/2025","Albertsons","29.44","Groceries","debit",,,
"02/08/2025","Costco","81.5","Shopping","debit",,,
"02/08/2025","Costco","358.08","Shopping","debit",,,
"02/07/2025","Costco","225.24","Shopping","debit",,,
"02/06/2025","Costco","80.75","Shopping","debit",,,
"02/06/2025","Costco","80.75","Shopping","debit",,,
"02/06/2025","Costco","80.75","Shopping","debit",,,
"02/06/2025","Costco","80.75","Shopping","debit",,,
"02/06/2025","Costco","80.75","Shopping","debit",,,
"02/06/2025","Costco","418.92","Shopping","debit",,,
"02/05/2025","Costco Gas","15.03","Auto & transport","debit",,,
"02/05/2025","Costco","35.1","Shopping","debit",,,
"02/05/2025","Costco","41.99","Shopping","debit",,,
"02/05/2025","Costco","41.99","Shopping","debit",,,
"02/05/2025","Costco","41.99","Shopping","debit",,,
"02/05/2025","Costco","41.99","Shopping","debit",,,
"02/05/2025","Costco","80.75","Shopping","debit",,,
"02/05/2025","Costco","80.75","Shopping","debit",,,
"02/05/2025","Costco","87.49","Shopping","debit",,,
"02/05/2025","KEEPTHECHANGE CREDIT FR...","0.77","Transfer","credit",,,
"02/04/2025","Zelle payment from     ...","967.35","Transfer","credit",,,
"02/04/2025","Zelle payment from     ...","591","Transfer","credit",,,
"02/04/2025","KEEP THE CHANGE TRANSFE...","0.77","Transfer","debit",,,
"02/04/2025","Apple","27.23","Shopping","debit",,,
"02/04/2025","CHA FOR TEA","5.2","Food & dining","debit",,,
"02/04/2025","Albertsons","12.91","Groceries","debit",,,
"02/04/2025","TESLA SUPERCHARGER US 8...","15.87","Auto & transport","debit",,,
"02/03/2025","APPLECARD GSBANK DES:PA...","49.61","Transfer","debit",,,
"02/03/2025","CITI CARD ONLINE DES:PA...","563.91","Transfer","debit",,,
"02/03/2025","Zelle payment from     ...","6.2","Transfer","credit",,,
"02/03/2025","Zelle payment from     ...","28","Transfer","credit",,,
